"";"name.company";"ref.date";"1 Ativo Total";"1.01 Ativo Circulante";"1.01.01 Caixa e Equivalentes de Caixa";"1.01.02 Aplicações Financeiras";"1.01.03 Contas a Receber";"1.01.04 Estoques";"1.01.05 Ativos Biológicos";"1.01.06 Tributos a Recuperar";"1.01.07 Despesas Antecipadas";"1.01.08 Outros Ativos Circulantes";"1.02 Ativo Não Circulante";"1.02.01 Ativo Realizável a Longo Prazo";"1.02.02 Investimentos";"1.02.03 Imobilizado";"1.02.04 Intangível";"1.02.05 Diferido";"2 Passivo Total";"2.01 Passivo Circulante";"2.01.01 Obrigações Sociais e Trabalhistas";"2.01.02 Fornecedores";"2.01.03 Obrigações Fiscais";"2.01.04 Empréstimos e Financiamentos";"2.01.05 Outras Obrigações";"2.01.06 Provisões";"2.01.07 Passivos sobre Ativos Não-Correntes a Venda e Descontinuados";"2.01.08 Outros";"2.02 Passivo Não Circulante";"2.02.01 Empréstimos e Financiamentos";"2.02.02 Outras Obrigações";"2.02.03 Tributos Diferidos";"2.02.04 Provisões";"2.02.05 Passivos sobre Ativos Não-Correntes a Venda e Descontinuados";"2.02.06 Lucros e Receitas a Apropriar";"2.03 Patrimônio Líquido";"2.03 Patrimônio Líquido Consolidado";"2.03.01 Capital Social Realizado";"2.03.02 Reservas de Capital";"2.03.03 Reservas de Reavaliação";"2.03.04 Reservas de Lucros";"2.03.05 Lucros/Prejuízos Acumulados";"2.03.06 Ajustes de Avaliação Patrimonial";"2.03.07 Ajustes Acumulados de Conversão";"2.03.08 Outros Resultados Abrangentes";"2.03.09 Participação dos Acionistas Não Controladores";"2.04 Part. de Acionistas Não Controladores";"2.05 Patrimônio Líquido";"2.05.01 Capital Social Realizado";"2.05.02 Reservas de Capital";"2.05.03 Reservas de Reavaliação";"2.05.04 Reservas de Lucro";"2.05.05 Ajustes de Avaliação Patrimonial";"2.05.06 Lucros/Prejuízos Acumulados";"2.05.07 Adiantamento para Futuro Aumento Capital";"3.01 Receita de Venda de Bens e/ou Serviços";"3.02 Custo dos Bens e/ou Serviços Vendidos";"3.03 Resultado Bruto";"3.04 Despesas/Receitas Operacionais";"3.05 Resultado Antes do Resultado Financeiro e dos Tributos";"3.06 Resultado Financeiro";"3.07 Resultado Antes dos Tributos sobre o Lucro";"3.08 Imposto de Renda e Contribuição Social sobre o Lucro";"3.09 Resultado Líquido das Operações Continuadas";"3.10 Resultado Líquido de Operações Descontinuadas";"3.11 Lucro/Prejuízo Consolidado do Período";"3.11 Lucro/Prejuízo do Período";"3.12 Participações/Contribuições Estatutárias";"3.13 Reversão dos Juros sobre Capital Próprio";"3.14 Part. de Acionistas Não Controladores";"3.15 Lucro/Prejuízo do Período";"3.99 Lucro por Ação - (Reais / Ação)";"6.01 Receitas";"6.01.01 Vendas Mercadorias, Produtos e Serviços";"6.01.02 Outras Receitas";"6.01.03 Receitas refs. à Constr. Ativos Próprios";"6.01.04 Provisão/Rev. Créds. Liquidação Duvidosa";"6.02 Insumos Adquiridos de Terceiros";"6.02.01 Custos Prods., Mercs. e Servs. Vendidos";"6.02.02 Materiais-Energia-Servs Terceiros-Outros";"6.02.03 Perda/Recuperação de Valores Ativos";"6.02.04 Outros";"6.03 Valor Adicionado Bruto";"6.04 Retenções";"6.04.01 Depreciação, Amortização e Exaustão";"6.04.02 Outras";"6.05 Valor Adicionado Líquido Produzido";"6.06 Vlr Adicionado Recebido em Transferência";"6.06.01 Resultado de Equivalência Patrimonial";"6.06.02 Receitas Financeiras";"6.06.03 Outros";"6.07 Valor Adicionado Total a Distribuir";"6.08 Distribuição do Valor Adicionado";"6.08.01 Pessoal";"6.08.02 Impostos, Taxas e Contribuições";"6.08.03 Remuneração de Capitais de Terceiros";"6.08.04 Remuneração de Capitais Próprios";"6.08.05 Outros";"7.01 Receitas";"7.01.01 Vendas de Mercadorias, Produtos e Serviços";"7.01.02 Outras Receitas";"7.01.03 Receitas refs. à Construção de Ativos Próprios";"7.01.04 Provisão/Reversão de Créds. Liquidação Duvidosa";"7.02 Insumos Adquiridos de Terceiros";"7.02.01 Custos Prods., Mercs. e Servs. Vendidos";"7.02.02 Materiais, Energia, Servs. de Terceiros e Outros";"7.02.03 Perda/Recuperação de Valores Ativos";"7.02.04 Outros";"7.03 Valor Adicionado Bruto";"7.04 Retenções";"7.04.01 Depreciação, Amortização e Exaustão";"7.04.02 Outras";"7.05 Valor Adicionado Líquido Produzido";"7.06 Vlr Adicionado Recebido em Transferência";"7.06.01 Resultado de Equivalência Patrimonial";"7.06.02 Receitas Financeiras";"7.06.03 Outros";"7.07 Valor Adicionado Total a Distribuir";"7.08 Distribuição do Valor Adicionado";"7.08.01 Pessoal";"7.08.02 Impostos, Taxas e Contribuições";"7.08.03 Remuneração de Capitais de Terceiros";"7.08.04 Remuneração de Capitais Próprios";"7.08.05 Outros";"cnpj";"ano";"constitu";"setor";"subsetor";"estado";"segmento";"patentes";"cedentes";"cessionaria";"num_patentes";"e_cedente";"num_cedentes";"e_cessionaria";"num_cessionaria";"CATEG_REG";"SETOR_ATIV";"UF";"DT_REG";"DT_CONST"
"1";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2011-12-31;52058;42045;41487;0;0;0;0;351;206;1;10013;4972;0;477;4564;NA;52058;51959;0;74;149;0;51727;9;0;NA;1533;0;528;0;1005;0;0;NA;-1434;679;622;0;0;-2735;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;-7200;72506;-43613;28893;-614;28279;-9377;18902;0;18902;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;0;0;0;0;-46721;-7200;-3180;-33830;-2511;32985;-129;-129;0;32856;2416;0;2416;0;35272;35272;2425;10196;3749;18902;0;"10345009000198";2011;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008"
"2";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2012-12-31;41444;31359;30351;0;0;0;0;859;51;98;10085;5177;0;344;4564;NA;41444;58763;0;99;119;0;56867;1678;0;NA;1067;0;528;0;1067;0;0;NA;-18386;679;8373;0;0;-27438;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;-2136;-2136;-19030;-21166;-3537;-24703;-9377;-24703;0;-24703;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84205;84205;0;0;0;-16348;-2136;-5222;0;-8990;-16348;-135;-135;0;-16483;-247;0;-247;0;-16730;-16730;3212;702;4059;-24703;0;"10345009000198";2012;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008"
"3";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2013-12-31;15883;10163;8763;0;0;0;0;1298;66;36;5720;5507;0;213;4564;NA;15883;58847;0;480;33;0;58057;277;0;NA;3578;0;528;0;3578;0;0;NA;-46542;689;5617;0;0;-52848;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;-1603;-1603;-16216;-17819;-7591;-25410;-9377;-25410;0;-25410;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84205;84205;0;0;0;-13423;-1603;-7824;0;-3996;-13423;-136;-136;0;-13559;-4112;0;-4112;0;-17671;-17671;2874;612;4253;-25410;0;"10345009000198";2013;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008"
"4";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2014-12-31;1845;632;69;0;0;0;0;470;42;51;1213;1198;0;15;4564;NA;1845;17619;0;235;114;0;17254;16;0;NA;5014;0;0;1367;3647;0;0;NA;-20788;689;5352;0;0;-26829;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;-1603;-1603;-6648;-6648;-3308;-9956;-1367;-11323;0;-11323;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;-1681;-1603;-1877;-76;272;-1681;-5001;-123;-4878;-6682;-721;0;-667;-54;-7403;-7403;827;51;3042;-11323;0;"10345009000198";2014;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008"
"5";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2015-12-31;6681;570;53;0;0;0;0;482;20;15;6111;6105;0;6;0;NA;6681;34931;77;275;636;0;33933;10;0;NA;7337;0;0;3633;3704;0;0;NA;-35587;689;4332;0;0;-40608;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;-1603;-1603;-3286;-3286;-9247;-12533;-2266;-14799;0;-14799;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;90;0;0;0;-1636;-1465;-171;-76;272;-1546;-2426;-16;-2410;-3972;563;0;563;-54;-3409;-3409;962;8;10420;-14799;0;"10345009000198";2015;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008"
"6";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2016-12-31;2750;957;21;0;0;0;0;244;398;294;1793;1387;0;25;381;NA;2750;3278;145;756;915;0;1452;10;0;NA;3704;0;0;3633;3704;0;0;NA;-4232;33860;4332;0;0;-40608;0;0;-1816;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;-7530;-7530;2082;-5448;3631;-1817;0;-1817;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;90;0;0;0;-3730;-1465;-2008;-76;-1722;-3730;-38;-38;-2410;-3768;2103;0;2103;-54;-1665;-1665;2926;-2954;180;-1817;0;"10345009000198";2016;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008"
"7";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2017-12-31;2409;357;157;0;17;0;0;16;30;137;2052;1722;0;19;311;NA;2409;7931;679;1015;1641;0;4578;18;0;NA;3806;0;0;3633;3806;0;0;NA;-9328;33860;4648;0;0;-47836;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;0;18;-4805;-4787;-624;-5411;3633;-5411;0;-5411;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;18;0;0;0;-2673;-1465;-2267;0;-406;-2655;-76;-76;-2410;-2731;-331;0;-331;0;-3062;-3062;1521;455;373;-5411;0;"10345009000198";2017;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008"
"8";"AES TIETÊ ENERGIA S.A";2010-12-31;18215134;4220454;303510;2170442;1390513;58018;0;190132;2506;105333;13994680;2556659;10121;3406810;8021090;NA;18215134;3000385;0;1047755;805234;353563;473226;320607;0;NA;7779725;4116767;1628361;1489925;544672;0;0;NA;7435024;2960709;-204442;0;434837;-57487;0;0;980693;3263227;NA;NA;NA;NA;NA;NA;NA;NA;NA;10016982;-7072629;2944353;-150993;2793360;-37223;2756137;-968990;1787147;0;1787147;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15044940;14148187;134070;708708;53975;-5944929;-4595719;-561500;0;-787710;9100011;-873975;-722983;-150992;8226036;430095;0;430095;0;8656131;8656131;663226;5737176;468582;1787147;0;"04128563000110";2010;"2000-11-06";"Utilidade Pública";"Energia Elétrica";"SP";"Energia Elétrica";0;0;0;0;0;0;0;0;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"SP";"29/06/2001";"06/11/2000"
"9";"AES TIETÊ ENERGIA S.A";2011-12-31;17203706;4067507;207907;2037870;1475567;52553;0;175165;2726;115719;13136199;2076672;9500;3165206;7884821;NA;17203706;3342725;0;1022692;850054;365883;830746;273350;0;NA;5801917;3054287;1480677;771117;495836;0;0;NA;8059064;2960708;-204440;0;726098;0;0;0;930785;3441473;NA;NA;NA;NA;NA;NA;NA;NA;NA;9917958;-7011386;2906572;-147703;2758869;-169771;2589098;-858344;1730754;936755;2667509;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15505238;6218931;8468317;738745;79245;-6130410;-4620269;-602272;0;-907869;9374828;-841121;-693418;-147703;8533707;1361738;0;424983;936755;9895445;9895445;614050;6006121;607765;2667509;0;"04128563000110";2011;"2000-11-06";"Utilidade Pública";"Energia Elétrica";"SP";"Energia Elétrica";0;0;0;0;0;0;0;0;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"SP";"29/06/2001";"06/11/2000"
"10";"AES TIETÊ ENERGIA S.A";2012-12-31;16440554;3684149;210952;1232390;1569701;63936;0;451666;3672;151832;12756405;1992386;9500;3129052;7625467;NA;16440554;3272881;0;1430630;739156;401904;522318;178873;0;NA;5823639;3316775;1359804;741868;405192;0;0;NA;7344034;2960708;-204440;0;444468;0;0;0;849622;3089236;NA;NA;NA;NA;NA;NA;NA;NA;NA;10099789;-8547022;1552767;-144243;1408524;-94868;1313656;-477128;836528;936755;836528;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15533017;14616724;124209;831115;-39031;-7570237;-5820459;-686804;0;-1062974;7962780;-782633;-638390;-144243;7180147;304051;0;304051;936755;7484198;7484198;686482;5541555;419633;836528;0;"04128563000110";2012;"2000-11-06";"Utilidade Pública";"Energia Elétrica";"SP";"Energia Elétrica";0;0;0;0;0;0;0;0;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"SP";"29/06/2001";"06/11/2000"
