"";"name_company";"ref_date";"x1_ativo_total";"x1_01_ativo_circulante";"x1_01_01_caixa_e_equivalentes_de_caixa";"x1_01_02_aplicacoes_financeiras";"x1_01_03_contas_a_receber";"x1_01_04_estoques";"x1_01_05_ativos_biologicos";"x1_01_06_tributos_a_recuperar";"x1_01_07_despesas_antecipadas";"x1_01_08_outros_ativos_circulantes";"x1_02_ativo_nao_circulante";"x1_02_01_ativo_realizavel_a_longo_prazo";"x1_02_02_investimentos";"x1_02_03_imobilizado";"x1_02_04_intangivel";"x1_02_05_diferido";"x2_passivo_total";"x2_01_passivo_circulante";"x2_01_01_obrigacoes_sociais_e_trabalhistas";"x2_01_02_fornecedores";"x2_01_03_obrigacoes_fiscais";"x2_01_04_emprestimos_e_financiamentos";"x2_01_05_outras_obrigacoes";"x2_01_06_provisoes";"x2_01_07_passivos_sobre_ativos_nao_correntes_a_venda_e_descontinuados";"x2_01_08_outros";"x2_02_passivo_nao_circulante";"x2_02_01_emprestimos_e_financiamentos";"x2_02_02_outras_obrigacoes";"x2_02_03_tributos_diferidos";"x2_02_04_provisoes";"x2_02_05_passivos_sobre_ativos_nao_correntes_a_venda_e_descontinuados";"x2_02_06_lucros_e_receitas_a_apropriar";"x2_03_patrimonio_liquido";"x2_03_patrimonio_liquido_consolidado";"x2_03_01_capital_social_realizado";"x2_03_02_reservas_de_capital";"x2_03_03_reservas_de_reavaliacao";"x2_03_04_reservas_de_lucros";"x2_03_05_lucros_prejuizos_acumulados";"x2_03_06_ajustes_de_avaliacao_patrimonial";"x2_03_07_ajustes_acumulados_de_conversao";"x2_03_08_outros_resultados_abrangentes";"x2_03_09_participacao_dos_acionistas_nao_controladores";"x2_04_part_de_acionistas_nao_controladores";"x2_05_patrimonio_liquido";"x2_05_01_capital_social_realizado";"x2_05_02_reservas_de_capital";"x2_05_03_reservas_de_reavaliacao";"x2_05_04_reservas_de_lucro";"x2_05_05_ajustes_de_avaliacao_patrimonial";"x2_05_06_lucros_prejuizos_acumulados";"x2_05_07_adiantamento_para_futuro_aumento_capital";"x3_01_receita_de_venda_de_bens_e_ou_servicos";"x3_02_custo_dos_bens_e_ou_servicos_vendidos";"x3_03_resultado_bruto";"x3_04_despesas_receitas_operacionais";"x3_05_resultado_antes_do_resultado_financeiro_e_dos_tributos";"x3_06_resultado_financeiro";"x3_07_resultado_antes_dos_tributos_sobre_o_lucro";"x3_08_imposto_de_renda_e_contribuicao_social_sobre_o_lucro";"x3_09_resultado_liquido_das_operacoes_continuadas";"x3_10_resultado_liquido_de_operacoes_descontinuadas";"x3_11_lucro_prejuizo_consolidado_do_periodo";"x3_11_lucro_prejuizo_do_periodo";"x3_12_participacoes_contribuicoes_estatutarias";"x3_13_reversao_dos_juros_sobre_capital_proprio";"x3_14_part_de_acionistas_nao_controladores";"x3_15_lucro_prejuizo_do_periodo";"x3_99_lucro_por_acao_reais_acao";"x6_01_receitas";"x6_01_01_vendas_mercadorias_produtos_e_servicos";"x6_01_02_outras_receitas";"x6_01_03_receitas_refs_a_constr_ativos_proprios";"x6_01_04_provisao_rev_creds_liquidacao_duvidosa";"x6_02_insumos_adquiridos_de_terceiros";"x6_02_01_custos_prods_mercs_e_servs_vendidos";"x6_02_02_materiais_energia_servs_terceiros_outros";"x6_02_03_perda_recuperacao_de_valores_ativos";"x6_02_04_outros";"x6_03_valor_adicionado_bruto";"x6_04_retencoes";"x6_04_01_depreciacao_amortizacao_e_exaustao";"x6_04_02_outras";"x6_05_valor_adicionado_liquido_produzido";"x6_06_vlr_adicionado_recebido_em_transferencia";"x6_06_01_resultado_de_equivalencia_patrimonial";"x6_06_02_receitas_financeiras";"x6_06_03_outros";"x6_07_valor_adicionado_total_a_distribuir";"x6_08_distribuicao_do_valor_adicionado";"x6_08_01_pessoal";"x6_08_02_impostos_taxas_e_contribuicoes";"x6_08_03_remuneracao_de_capitais_de_terceiros";"x6_08_04_remuneracao_de_capitais_proprios";"x6_08_05_outros";"x7_01_receitas";"x7_01_01_vendas_de_mercadorias_produtos_e_servicos";"x7_01_02_outras_receitas";"x7_01_03_receitas_refs_a_construcao_de_ativos_proprios";"x7_01_04_provisao_reversao_de_creds_liquidacao_duvidosa";"x7_02_insumos_adquiridos_de_terceiros";"x7_02_01_custos_prods_mercs_e_servs_vendidos";"x7_02_02_materiais_energia_servs_de_terceiros_e_outros";"x7_02_03_perda_recuperacao_de_valores_ativos";"x7_02_04_outros";"x7_03_valor_adicionado_bruto";"x7_04_retencoes";"x7_04_01_depreciacao_amortizacao_e_exaustao";"x7_04_02_outras";"x7_05_valor_adicionado_liquido_produzido";"x7_06_vlr_adicionado_recebido_em_transferencia";"x7_06_01_resultado_de_equivalencia_patrimonial";"x7_06_02_receitas_financeiras";"x7_06_03_outros";"x7_07_valor_adicionado_total_a_distribuir";"x7_08_distribuicao_do_valor_adicionado";"x7_08_01_pessoal";"x7_08_02_impostos_taxas_e_contribuicoes";"x7_08_03_remuneracao_de_capitais_de_terceiros";"x7_08_04_remuneracao_de_capitais_proprios";"x7_08_05_outros";"cnpj";"ano";"constitu";"setor";"subsetor";"estado";"segmento";"patentes";"cedentes";"cessionaria";"num_patentes";"e_cedente";"num_cedentes";"e_cessionaria";"num_cessionaria";"categ_reg";"setor_ativ";"uf";"dt_reg";"dt_const";"pl";"lucro";"liq_cor";"liq_geral";"end_ger";"end_ce";"roa";"roe";"intang_ativo";"intang_pl";"ch";"giro";"pro_patente";"lucra";"categoria";"ativi";"dano";"idade";"tamanho";"vca";"ief";"pagr";"pplgr";"pgpgr";"alta";"baixa";"regiao";"id"
"1";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2011-12-31;52058;42045;41487;0;0;0;0;351;206;1;10013;4972;0;477;4564;NA;52058;51959;0;74;149;0;51727;9;0;NA;1533;0;528;0;1005;0;0;NA;-1434;679;622;0;0;-2735;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;-7200;72506;-43613;28893;-614;28279;-9377;18902;0;18902;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;0;0;0;0;-46721;-7200;-3180;-33830;-2511;32985;-129;-129;0;32856;2416;0;2416;0;35272;35272;2425;10196;3749;18902;0;"10345009000198";2011;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008";-1434;18902;0,809195712003695;0,973192253047185;0,971341509010693;1,02754619847094;0,363095009412578;-13,1813110181311;0,0876714433900649;-3,18270571827057;32,8684536082474;1,53109992700449;0;0,362494667904549;"Categoria A";"Farmacêutico e Higiene";"2011";3;10,8601137605997;0,00916285681355411;0,220912813342655;0,677551961273964;-24,5969316596932;14,5451546391753;0;0;"suldeste";129
"2";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2012-12-31;41444;31359;30351;0;0;0;0;859;51;98;10085;5177;0;344;4564;NA;41444;58763;0;99;119;0;56867;1678;0;NA;1067;0;528;0;1067;0;0;NA;-18386;679;8373;0;0;-27438;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;-2136;-2136;-19030;-21166;-3537;-24703;-9377;-24703;0;-24703;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84205;84205;0;0;0;-16348;-2136;-5222;0;-8990;-16348;-135;-135;0;-16483;-247;0;-247;0;-16730;-16730;3212;702;4059;-24703;0;"10345009000198";2012;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008";-18386;-24703;0,533652128039753;0,692695971920441;0,98216613738927;1,44363478428723;-0,596057330373516;1,34357663439574;0,110124505356626;-0,248232350701621;24,8150684931507;2,03177782067368;0;-0,265550899555868;"Categoria A";"Farmacêutico e Higiene";"2012";4;10,6320983973716;0,00830035710838722;0,173128408527516;-0,403677251230576;0,909931469596432;-5,20859277708593;0;0;"suldeste";129
"3";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2013-12-31;15883;10163;8763;0;0;0;0;1298;66;36;5720;5507;0;213;4564;NA;15883;58847;0;480;33;0;58057;277;0;NA;3578;0;528;0;3578;0;0;NA;-46542;689;5617;0;0;-52848;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;79706;-1603;-1603;-16216;-17819;-7591;-25410;-9377;-25410;0;-25410;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84205;84205;0;0;0;-13423;-1603;-7824;0;-3996;-13423;-136;-136;0;-13559;-4112;0;-4112;0;-17671;-17671;2874;612;4253;-25410;0;"10345009000198";2013;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008";-46542;-25410;0,172702091865346;0,254433319983981;0,942683219863837;3,93030283951395;-1,59982371088585;0,545958489106613;0,287351256059938;-0,0980619655365047;27,7334725121781;5,30158030598753;0;-0,223559079617595;"Categoria A";"Farmacêutico e Higiene";"2013";5;9,67300463383516;0,0134105647547693;0,745979020979021;-1,11257319146257;0,379678569893859;-6,14857341684064;0;0;"suldeste";129
"4";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2015-12-31;6681;570;53;0;0;0;0;482;20;15;6111;6105;0;6;0;NA;6681;34931;77;275;636;0;33933;10;0;NA;7337;0;0;3633;3704;0;0;NA;-35587;689;4332;0;0;-40608;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;-1603;-1603;-3286;-3286;-9247;-12533;-2266;-14799;0;-14799;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;90;0;0;0;-1636;-1465;-171;-76;272;-1546;-2426;-16;-2410;-3972;563;0;563;-54;-3409;-3409;962;8;10420;-14799;0;"10345009000198";2015;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008";-35587;-14799;0,0163178838281183;0,158062837134475;0,826417147724047;6,3265978146984;-2,21508756174225;0,415854104026751;0;0;0;0,0134710372698698;0;-Inf;"Categoria A";"Farmacêutico e Higiene";"2015";7;8,80702295592548;0,000898069151324652;1,31336933398789;-0,51025295614429;0,0957934077050608;-3,54365904365904;0;0;"suldeste";129
"5";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2016-12-31;2750;957;21;0;0;0;0;244;398;294;1793;1387;0;25;381;NA;2750;3278;145;756;915;0;1452;10;0;NA;3704;0;0;3633;3704;0;0;NA;-4232;33860;4332;0;0;-40608;0;0;-1816;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;-7530;-7530;2082;-5448;3631;-1817;0;-1817;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;90;90;0;0;0;-3730;-1465;-2008;-76;-1722;-3730;-38;-38;-2410;-3768;2103;0;2103;-54;-1665;-1665;2926;-2954;180;-1817;0;"10345009000198";2016;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008";-4232;-1817;0,291946308724832;0,393869951303351;0,469492981953595;2,53890909090909;-0,660727272727273;0,429347826086957;0,138545454545455;-0,0900283553875236;0;0,0327272727272727;0;-Inf;"Categoria A";"Farmacêutico e Higiene";"2016";8;7,91935619066062;0,00909090909090909;20,9503625209147;-0,605454545454545;0,393431001890359;-0,569036226930964;0;0;"suldeste";129
"6";"ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.";2017-12-31;2409;357;157;0;17;0;0;16;30;137;2052;1722;0;19;311;NA;2409;7931;679;1015;1641;0;4578;18;0;NA;3806;0;0;3633;3806;0;0;NA;-9328;33860;4648;0;0;-47836;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;0;18;-4805;-4787;-624;-5411;3633;-5411;0;-5411;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;18;0;0;0;-2673;-1465;-2267;0;-406;-2655;-76;-76;-2410;-2731;-331;0;-331;0;-3062;-3062;1521;455;373;-5411;0;"10345009000198";2017;"2008-08-18";"Saúde";"Serv.Méd.Hospit..Análises e Diagnósticos";"SP";"Serv.Méd.Hospit..Análises e Diagnósticos";0;0;0;0;0;0;0;0;"Categoria A";"Farmacêutico e Higiene";"SP";"24/06/2009";"18/08/2008";-9328;-5411;0,0450132391879965;0,205248359887535;0,67572633552015;4,87214611872146;-2,2461602324616;0,580081475128645;0,129099211290992;-0,0333404802744425;0,0118343195266272;0,0074719800747198;0;-265,944444444444;"Categoria A";"Farmacêutico e Higiene";"2017";9;7,78696700261487;0,0078870900788709;18,3557504873294;-1,27106683271067;0,328259005145798;-2,01314924391847;0;0;"suldeste";129
"7";"AES TIETÊ ENERGIA S.A";2010-12-31;18215134;4220454;303510;2170442;1390513;58018;0;190132;2506;105333;13994680;2556659;10121;3406810;8021090;NA;18215134;3000385;0;1047755;805234;353563;473226;320607;0;NA;7779725;4116767;1628361;1489925;544672;0;0;NA;7435024;2960709;-204442;0;434837;-57487;0;0;980693;3263227;NA;NA;NA;NA;NA;NA;NA;NA;NA;10016982;-7072629;2944353;-150993;2793360;-37223;2756137;-968990;1787147;0;1787147;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15044940;14148187;134070;708708;53975;-5944929;-4595719;-561500;0;-787710;9100011;-873975;-722983;-150992;8226036;430095;0;430095;0;8656131;8656131;663226;5737176;468582;1787147;0;"04128563000110";2010;"2000-11-06";"Utilidade Pública";"Energia Elétrica";"SP";"Energia Elétrica";0;0;0;0;0;0;0;0;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"SP";"29/06/2001";"06/11/2000";7435024;1787147;1,4066374815232;1,68969834259576;0,278326009660384;0,591821613829467;0,0981133051230916;0,240368692824663;0,440353060262966;1,07882503136506;15,1034217597018;0,825958238901784;0;0,278862435811505;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"2010";10;16,717763344972;0,190216992090204;0,764296934296887;0,475216432665277;1,16423712956407;13,0515555783398;0;0;"suldeste";69
"8";"AES TIETÊ ENERGIA S.A";2011-12-31;17203706;4067507;207907;2037870;1475567;52553;0;175165;2726;115719;13136199;2076672;9500;3165206;7884821;NA;17203706;3342725;0;1022692;850054;365883;830746;273350;0;NA;5801917;3054287;1480677;771117;495836;0;0;NA;8059064;2960708;-204440;0;726098;0;0;0;930785;3441473;NA;NA;NA;NA;NA;NA;NA;NA;NA;9917958;-7011386;2906572;-147703;2758869;-169771;2589098;-858344;1730754;936755;2667509;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15505238;6218931;8468317;738745;79245;-6130410;-4620269;-602272;0;-907869;9374828;-841121;-693418;-147703;8533707;1361738;0;424983;936755;9895445;9895445;614050;6006121;607765;2667509;0;"04128563000110";2011;"2000-11-06";"Utilidade Pública";"Energia Elétrica";"SP";"Energia Elétrica";0;0;0;0;0;0;0;0;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"SP";"29/06/2001";"06/11/2000";8059064;2667509;1,21682369922743;1,88128808104243;0,365539186771882;0,531550701924341;0,155054323760241;0,33099488972913;0,458321073378027;0,978379250989941;16,1517107727384;0,901273132661067;0;0,2781690545574;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"2011";11;16,6606353836907;0,187038711310226;0,664401377780096;0,575192635819282;1,22786529552315;16,1150476345574;0;0;"suldeste";69
"9";"AES TIETÊ ENERGIA S.A";2012-12-31;16440554;3684149;210952;1232390;1569701;63936;0;451666;3672;151832;12756405;1992386;9500;3129052;7625467;NA;16440554;3272881;0;1430630;739156;401904;522318;178873;0;NA;5823639;3316775;1359804;741868;405192;0;0;NA;7344034;2960708;-204440;0;444468;0;0;0;849622;3089236;NA;NA;NA;NA;NA;NA;NA;NA;NA;10099789;-8547022;1552767;-144243;1408524;-94868;1313656;-477128;836528;936755;836528;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15533017;14616724;124209;831115;-39031;-7570237;-5820459;-686804;0;-1062974;7962780;-782633;-638390;-144243;7180147;304051;0;304051;936755;7484198;7484198;686482;5541555;419633;836528;0;"04128563000110";2012;"2000-11-06";"Utilidade Pública";"Energia Elétrica";"SP";"Energia Elétrica";0;0;0;0;0;0;0;0;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"SP";"29/06/2001";"06/11/2000";7344034;836528;1,12565931972473;1,80734544639049;0,359794844621899;0,553297656514495;0,0508819836606479;0,113905790741165;0,463820562251126;1,03832130951463;14,7123872148141;0,94479887964846;0;0,139460735268826;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"2012";12;16,6152616453214;0,194214136579582;0,685188248892912;0,455227846944817;1,01908542362413;10,9022494398979;0;0;"suldeste";69
"10";"AES TIETÊ ENERGIA S.A";2013-12-31;16573460;3450472;271996;1368315;1336621;54822;0;223705;30649;164364;13122988;2484787;9500;3150276;7478425;NA;16573460;2865365;0;1039117;680425;441344;501749;202730;0;NA;7169754;3424499;2783177;543042;419036;0;0;NA;6538341;2960708;0;0;498923;0;0;0;489138;2589572;NA;NA;NA;NA;NA;NA;NA;NA;NA;9428650;-7662787;1765863;-141493;1624370;-19176;1605194;-541729;1063465;936755;1063465;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13174432;12259205;121306;809069;-15148;-6598582;-4903241;-636286;0;-1059055;6575850;-765611;-624118;-141493;5810239;253792;0;253792;936755;6064031;6064031;835055;3868023;297488;1063465;0;"04128563000110";2013;"2000-11-06";"Utilidade Pública";"Energia Elétrica";"SP";"Energia Elétrica";0;0;0;0;0;0;0;0;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"SP";"29/06/2001";"06/11/2000";6538341;1063465;1,2041998139853;1,65154593582797;0,285533734079287;0,605493300735031;0,0641667461109509;0,162650586746699;0,451228952795614;1,14378020357152;11,2910526851525;0,794911382415018;0;0,172280230998075;"Categoria A";"Emp. Adm. Part. - Energia Elétrica";"2013";13;16,6233131787091;0,193387379581572;0,768751560388259;0,365888052343928;0,92745713323915;7,26183425043859;0;0;"suldeste";69
